frame_number,timestamp,track_id,x1,y1,x2,y2,confidence
202,8.08,9,869,294,885,306,1.0
202,8.08,10,901,373,915,388,1.0
203,8.12,4,829,350,844,363,1.0
203,8.12,5,618,304,636,316,1.0
203,8.12,6,579,283,589,295,1.0
203,8.12,7,727,316,746,327,1.0
203,8.12,8,782,332,800,344,1.0
203,8.12,9,869,294,885,306,1.0
203,8.12,10,907,374,922,390,1.0
204,8.16,4,829,350,844,363,1.0
204,8.16,5,618,304,636,316,1.0
204,8.16,6,579,283,589,295,1.0
204,8.16,7,727,316,746,327,1.0
204,8.16,8,782,332,800,344,1.0
204,8.16,9,869,294,885,306,1.0
204,8.16,10,912,377,926,393,1.0
205,8.2,4,829,350,844,363,1.0
205,8.2,5,618,304,636,316,1.0
205,8.2,6,579,283,589,295,1.0
205,8.2,7,727,316,746,327,1.0
205,8.2,8,782,332,800,344,1.0
205,8.2,9,869,294,885,306,1.0
205,8.2,10,916,381,930,395,1.0
205,8.2,11,406,220,416,231,1.0
206,8.24,4,829,350,844,363,1.0
206,8.24,5,618,304,636,316,1.0
206,8.24,6,579,283,589,295,1.0
206,8.24,7,727,316,746,327,1.0
206,8.24,8,782,332,800,344,1.0
206,8.24,9,869,294,885,306,1.0
206,8.24,10,916,381,930,395,1.0
206,8.24,11,406,220,416,231,1.0
207,8.28,4,829,350,844,363,1.0
207,8.28,5,618,304,636,316,1.0
207,8.28,6,579,283,589,295,1.0
207,8.28,7,727,316,746,327,1.0
207,8.28,8,782,332,800,344,1.0
207,8.28,9,869,294,885,306,1.0
207,8.28,10,916,381,930,395,1.0
207,8.28,11,406,220,416,231,1.0
208,8.32,4,829,350,844,363,1.0
208,8.32,5,618,304,636,316,1.0
208,8.32,6,579,283,589,295,1.0
208,8.32,7,727,316,746,327,1.0
208,8.32,8,782,332,800,344,1.0
208,8.32,9,869,294,885,306,1.0
208,8.32,10,916,381,930,395,1.0
208,8.32,11,406,220,416,231,1.0
209,8.36,4,829,350,844,363,1.0
209,8.36,5,618,304,636,316,1.0
209,8.36,6,579,283,589,295,1.0
209,8.36,7,727,316,746,327,1.0
209,8.36,8,782,332,800,344,1.0
209,8.36,9,869,294,885,306,1.0
209,8.36,10,921,390,937,408,1.0
209,8.36,11,406,220,416,231,1.0
210,8.4,4,829,350,844,363,1.0
210,8.4,5,618,304,636,316,1.0
210,8.4,6,579,283,589,295,1.0
210,8.4,7,727,316,746,327,1.0
210,8.4,8,782,332,800,344,1.0
210,8.4,9,869,294,885,306,1.0
210,8.4,10,923,395,937,409,1.0
210,8.4,11,406,220,416,231,1.0
211,8.44,4,829,350,844,363,1.0
211,8.44,5,618,304,636,316,1.0
211,8.44,7,727,316,746,327,1.0
211,8.44,8,782,332,800,344,1.0
211,8.44,9,869,294,885,306,1.0
211,8.44,10,923,395,937,409,1.0
211,8.44,11,406,220,416,231,1.0
212,8.48,4,829,350,844,363,1.0
212,8.48,5,618,304,636,316,1.0
212,8.48,7,727,316,746,327,1.0
212,8.48,8,782,332,800,344,1.0
212,8.48,9,869,294,885,306,1.0
212,8.48,10,923,395,937,409,1.0
212,8.48,11,406,220,416,231,1.0
213,8.52,4,829,350,844,363,1.0
213,8.52,5,618,304,636,316,1.0
213,8.52,7,727,316,746,327,1.0
213,8.52,8,782,332,800,344,1.0
213,8.52,9,869,294,885,306,1.0
213,8.52,10,924,401,939,418,1.0
213,8.52,11,406,220,416,231,1.0
214,8.56,4,829,350,844,363,1.0
214,8.56,7,727,316,746,327,1.0
214,8.56,8,782,332,800,344,1.0
214,8.56,9,869,294,885,306,1.0
214,8.56,10,924,405,939,420,1.0
214,8.56,11,406,220,416,231,1.0
215,8.6,4,829,350,844,363,1.0
215,8.6,7,727,316,746,327,1.0
215,8.6,8,782,332,800,344,1.0
215,8.6,9,869,294,885,306,1.0
215,8.6,10,924,409,938,422,1.0
215,8.6,11,406,220,416,231,1.0
215,8.6,12,717,356,734,370,1.0
216,8.64,4,829,350,844,363,1.0
216,8.64,7,727,316,746,327,1.0
216,8.64,8,782,332,800,344,1.0
216,8.64,9,869,294,885,306,1.0
216,8.64,10,924,411,938,425,1.0
216,8.64,11,406,220,416,231,1.0
216,8.64,12,717,356,734,370,1.0
217,8.68,4,829,350,844,363,1.0
217,8.68,7,727,316,746,327,1.0
217,8.68,8,782,332,800,344,1.0
217,8.68,9,869,294,885,306,1.0
217,8.68,10,925,413,937,427,1.0
217,8.68,11,406,220,416,231,1.0
217,8.68,12,717,356,734,370,1.0
218,8.72,4,829,350,844,363,1.0
218,8.72,7,727,316,746,327,1.0
218,8.72,8,782,332,800,344,1.0
218,8.72,9,869,294,885,306,1.0
218,8.72,10,925,413,937,427,1.0
218,8.72,11,406,220,416,231,1.0
218,8.72,12,717,356,734,370,1.0
219,8.76,4,829,350,844,363,1.0
219,8.76,8,782,332,800,344,1.0
219,8.76,9,869,294,885,306,1.0
219,8.76,10,925,413,937,427,1.0
219,8.76,11,406,220,416,231,1.0
219,8.76,12,717,356,734,370,1.0
220,8.8,4,829,350,844,363,1.0
220,8.8,8,782,332,800,344,1.0
220,8.8,9,869,294,885,306,1.0
220,8.8,10,925,413,937,427,1.0
220,8.8,11,406,220,416,231,1.0
220,8.8,12,717,356,734,370,1.0
221,8.84,4,829,350,844,363,1.0
221,8.84,8,782,332,800,344,1.0
221,8.84,9,869,294,885,306,1.0
221,8.84,10,925,413,937,427,1.0
221,8.84,11,406,220,416,231,1.0
221,8.84,12,717,356,734,370,1.0
222,8.88,4,829,350,844,363,1.0
222,8.88,9,869,294,885,306,1.0
222,8.88,10,925,413,937,427,1.0
222,8.88,11,406,220,416,231,1.0
222,8.88,12,717,356,734,370,1.0
223,8.92,4,829,350,844,363,1.0
223,8.92,9,869,294,885,306,1.0
223,8.92,10,925,413,937,427,1.0
223,8.92,11,406,220,416,231,1.0
223,8.92,12,717,356,734,370,1.0
224,8.96,4,829,350,844,363,1.0
224,8.96,9,869,294,885,306,1.0
224,8.96,10,925,413,937,427,1.0
224,8.96,11,406,220,416,231,1.0
224,8.96,12,717,356,734,370,1.0
225,9.0,9,869,294,885,306,1.0
225,9.0,10,873,406,889,420,1.0
225,9.0,11,406,220,416,231,1.0
225,9.0,12,717,356,734,370,1.0
226,9.04,9,869,294,885,306,1.0
226,9.04,10,865,407,879,420,1.0
226,9.04,11,406,220,416,231,1.0
226,9.04,12,717,356,734,370,1.0
227,9.08,9,869,294,885,306,1.0
227,9.08,10,865,407,879,420,1.0
227,9.08,11,406,220,416,231,1.0
227,9.08,12,717,356,734,370,1.0
228,9.12,9,869,294,885,306,1.0
228,9.12,10,846,405,862,418,1.0
228,9.12,11,406,220,416,231,1.0
228,9.12,12,717,356,734,370,1.0
229,9.16,9,869,294,885,306,1.0
229,9.16,10,838,402,853,416,1.0
229,9.16,11,406,220,416,231,1.0
229,9.16,12,717,356,734,370,1.0
230,9.2,10,838,402,853,416,1.0
230,9.2,11,406,220,416,231,1.0
230,9.2,12,717,356,734,370,1.0
231,9.24,10,838,402,853,416,1.0
231,9.24,11,406,220,416,231,1.0
231,9.24,12,717,356,734,370,1.0
232,9.28,10,838,402,853,416,1.0
232,9.28,11,406,220,416,231,1.0
232,9.28,12,717,356,734,370,1.0
233,9.32,10,810,402,824,415,1.0
233,9.32,11,406,220,416,231,1.0
233,9.32,12,717,356,734,370,1.0
234,9.36,10,806,401,818,415,1.0
234,9.36,11,406,220,416,231,1.0
234,9.36,12,717,356,734,370,1.0
234,9.36,13,990,102,1004,119,1.0
235,9.4,10,806,401,818,415,1.0
235,9.4,11,406,220,416,231,1.0
235,9.4,12,717,356,734,370,1.0
235,9.4,13,990,102,1004,119,1.0
236,9.44,10,806,401,818,415,1.0
236,9.44,12,717,356,734,370,1.0
236,9.44,13,990,102,1004,119,1.0
237,9.48,10,806,401,818,415,1.0
237,9.48,12,717,356,734,370,1.0
237,9.48,13,990,102,1004,119,1.0
238,9.52,10,806,401,818,415,1.0
238,9.52,12,717,356,734,370,1.0
238,9.52,13,990,102,1004,119,1.0
239,9.56,10,806,401,818,415,1.0
239,9.56,12,717,356,734,370,1.0
239,9.56,13,990,102,1004,119,1.0
240,9.6,10,773,405,787,419,1.0
240,9.6,12,717,356,734,370,1.0
240,9.6,13,990,102,1004,119,1.0
